cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence,origem
42,7,0.8782,0.7841,0.198,19.0,0.0557,0
82,7,0.8671,0.7683,0.1262,114.0,0.0071,0
130,7,0.8952,0.8083,0.0662,101.0,0.0306,1
116,6,0.8445,0.8076,0.0867,56.0,0.0093,1
119,6,0.8849,0.8464,0.1024,70.0,0.101,1
113,6,0.8403,0.8081,0.1094,54.0,0.0277,1
69,6,0.8809,0.8247,0.1851,56.0,0.0829,0
68,6,0.8814,0.8233,0.1036,58.0,0.0081,0
65,6,0.8742,0.8075,0.0899,78.0,0.0035,0
11,6,0.9118,0.8614,0.2309,10.0,0.0795,0
20,6,0.8723,0.7161,0.0898,29.0,0.0084,0
30,6,0.8844,0.8403,0.0867,29.0,0.0033,0
40,6,0.8876,0.8417,0.1427,134.0,0.0234,0
78,6,0.8967,0.8603,0.0899,65.0,0.0068,0
41,6,0.8836,0.8524,0.185,128.0,0.0064,0
51,6,0.8667,0.8223,0.2061,82.0,0.0175,0
52,6,0.8038,0.6997,0.1472,123.0,0.0677,0
135,5,0.7566,0.7141,0.1652,15.0,0.433,2
14,5,0.8592,0.8346,0.2695,15.0,0.1268,0
31,5,0.8806,0.8103,0.082,126.0,0.0072,0
111,5,0.9167,0.8871,0.0578,112.0,0.0054,0
106,5,0.9274,0.9177,0.1437,133.0,0.0178,0
76,5,0.9118,0.8939,0.078,75.0,0.0005,0
77,5,0.8554,0.814,0.1005,95.0,0.0,0
83,5,0.8995,0.8409,0.0542,84.0,0.0629,0
120,5,0.8673,0.8317,0.1631,7.0,0.0824,1
96,5,0.9032,0.8327,0.0462,127.0,0.0,0
99,5,0.914,0.8715,0.0506,109.0,0.0,0
100,5,0.9266,0.9168,0.072,101.0,0.0264,0
101,5,0.9006,0.8496,0.0662,130.0,0.0,0
102,5,0.9186,0.8722,0.0414,133.0,0.0,0
-1,0,,,,,,-1
